id,matched_stability_contribution,infonce_stability_contribution,uncontrolled_negative_stability_contribution,delta_matched_minus_infonce,delta_matched_minus_uncontrolled
0,0.4008073807240627,0.27527789976207345,0.3861026744644645,0.12552948096198924,0.014704706259598188
100,0.4352792952567048,0.34422060874799654,0.5874305897416406,0.09105868650870824,-0.15215129448493586
10016,0.27691224661771374,0.21487163609974802,0.3085682229196331,0.06204061051796572,-0.03165597630191935
10019,0.06220858551222947,0.11386988293131739,0.18078675860924756,-0.05166129741908792,-0.1185781730970181
10023,0.3064983423355688,0.25187377864933874,0.5167269609114171,0.05462456368623003,-0.21022861857584835
10027,0.6012223190364417,0.5882440051764185,0.7076585631524434,0.012978313860023238,-0.10643624411600161
10031,0.4199263065023252,0.38723460476145216,0.4312479019155034,0.03269170174087305,-0.011321595413178176
10038,0.5856588522383398,0.665865470151698,0.6683684001545332,-0.08020661791335815,-0.08270954791619345
10045,0.6075701872860013,0.40001341217409714,0.6262616798124885,0.20755677511190418,-0.018691492526487163
10048,0.7146886548483024,0.5070049375382618,0.7924062803997998,0.20768371731004054,-0.07771762555149742
10049,0.5639640925543914,0.3089127532348662,0.48157029338727236,0.25505133931952517,0.08239379916711903
10053,0.5106149445197046,0.3391342674503118,0.40777562662890876,0.1714806770693928,0.10283931789079581
10055,0.23045951057231023,0.21377209082995516,0.4146747484579561,0.016687419742355075,-0.18421523788564587
10061,0.4146903305805068,0.21841721675589834,0.4259669799573946,0.19627311382460846,-0.01127664937688777
1007,0.10048368264548185,0.06590098487111537,0.07567144695480446,0.03458269777436648,0.024812235690677392
10072,0.7457293303196986,0.6189576164880479,0.6048745148923483,0.12677171383165065,0.14085481542735023
10076,0.47804738955702863,0.4509861348239491,0.6362697809782509,0.02706125473307952,-0.1582223914212223
10077,0.7273765804310984,0.7399581910152319,0.5602704575113455,-0.01258161058413343,0.1671061229197529
10078,0.5129483012708597,0.5085335342665652,0.4836576194557947,0.00441476700429444,0.029290681815064945
10080,0.3969971593705035,0.2758687713486042,0.4876095943288347,0.12112838802189929,-0.09061243495833121
10081,0.5137510205494598,0.43191530679630136,0.5721209210540411,0.0818357137531584,-0.05836990050458135
10090,0.1935035670166381,0.15449102857877312,0.34587678661443166,0.03901253843786498,-0.15237321959779357
10093,0.39784587645841135,0.31914052024109896,0.3957147246296947,0.0787053562173124,0.0021311518287166487
10097,0.239935603248979,0.14436581492141334,0.10047656580244782,0.09556978832756566,0.13945903744653118
10099,0.6250908212808488,0.41432808791764747,0.7163086486725486,0.21076273336320134,-0.09121782739169981
10100,0.438604062838044,0.5092620100589736,0.6527089829325236,-0.07065794722092966,-0.21410492009447957
10105,0.7148137424050848,0.5524159411775834,0.5716382943035007,0.16239780122750136,0.1431754481015841
10107,0.2475984849003401,0.15346003162444816,0.385529587704191,0.09413845327589193,-0.1379311028038509
10119,0.31190631410055153,0.25796669192523064,0.23656443695602358,0.05393962217532089,0.07534187714452795
10125,0.5460534768868635,0.46075461891849967,0.6985250378163576,0.08529885796836378,-0.1524715609294941
10132,0.885470448207099,0.6899206926853374,0.6160133576641135,0.19554975552176157,0.2694570905429855
1014,0.36737879064390844,0.20699189851973634,0.4277694508425251,0.1603868921241721,-0.060390660198616664
10150,0.37699551767493567,0.37518105084338715,0.42058440507881,0.0018144668315485113,-0.04358888740387434
10156,0.36662519929564175,0.1551775598193194,0.32977264429023895,0.21144763947632234,0.0368525550054028
10164,0.4320425386277031,0.21136996911628464,0.4339089558126089,0.22067256951141845,-0.001866417184905822
10166,0.5504920194834924,0.5307682658633218,0.7462911882452934,0.019723753620170537,-0.19579916876180103
10171,0.3954082064416794,0.2619703804557793,0.5029394568494916,0.1334378259859001,-0.1075312504078122
10177,0.5080776648422505,0.2779114167012718,0.5620497531542549,0.2301662481409787,-0.053972088312004396
10182,0.4847554006911345,0.387865275802479,0.47750322638356496,0.0968901248886555,0.0072521743075695255
10197,0.3281051019874806,0.3509838693407618,0.5679147295224604,-0.022878767353281204,-0.23980962753497975
102,0.6599410780553814,0.3612010998161645,0.7161551290294051,0.2987399782392169,-0.056214050974023766
10206,0.6119490489864483,0.5847048600339536,0.7802504253400893,0.027244188952494697,-0.16830137635364095
10213,0.2479164213679698,0.30714128431631976,0.27115015766192524,-0.05922486294834997,-0.023233736293955448
10214,0.42284791051395715,0.4050801307491125,0.47694823370768197,0.01776777976484467,-0.05410032319372482
10216,0.5731816211038762,0.4647961680782055,0.6693328605964987,0.10838545302567065,-0.0961512394926225
10217,0.5135539217552991,0.28207367168741254,0.28791147616978,0.23148025006788658,0.2256424455855191
10220,0.5465772387502622,0.4081298682942532,0.6555206037256852,0.13844737045600902,-0.10894336497542301
10224,0.30376591685308857,0.2977523974007962,0.4622014062696715,0.006013519452292393,-0.15843548941658292
10226,0.5865511532126118,0.38852223221469856,0.720342868005601,0.1980289209979132,-0.13379171479298924
10247,0.7866105994547474,0.5934952600291397,0.6532107769046364,0.19311533942560777,0.13339982255011107
10256,0.0881212062632816,0.023015810592329197,0.05010715769393662,0.0651053956709524,0.038014048569344976
10260,0.5401455874669202,0.4809559747243743,0.4101921911999721,0.059189612742545916,0.12995339626694813
10263,0.9496912082705325,0.8166100376656097,0.7135080633925293,0.13308117060492286,0.2361831448780033
10268,0.5212760926913409,0.372191027604555,0.5027820552325543,0.14908506508678587,0.01849403745878664
10276,0.4658202743606583,0.20604814720942538,0.42347963307707803,0.25977212715123293,0.04234064128358028
10285,0.32338608056677237,0.1812471090647258,0.2733151645355452,0.14213897150204657,0.05007091603122715
10286,0.22483131726435057,0.16263783499827233,0.1243333232035054,0.06219348226607824,0.10049799406084517
10288,0.36999090111282806,0.20440355930896623,0.22837766756831496,0.16558734180386184,0.1416132335445131
10292,0.7166433916076199,0.5031275784248004,0.5505730944657372,0.21351581318281954,0.1660702971418827
10296,0.5748656632544648,0.47250467226040094,0.47316981731654684,0.10236099099406382,0.10169584593791792
103,0.7242399188947211,0.3865134548529542,0.6686751962074908,0.33772646404176687,0.05556472268723023
1030,0.7787945674397576,0.42551214051452524,0.6634306102444605,0.3532824269252324,0.11536395719529713
10302,0.12040024175540898,0.15979869875332506,0.0758334149575851,-0.03939845699791608,0.04456682679782388
10308,0.35832254487242415,0.2211891887147192,0.11272218193855124,0.13713335615770494,0.2456003629338729
10317,0.11899924709184721,0.061658379193204826,0.08610090866373402,0.057340867898642386,0.0328983384281132
